Bezirk	Fläche
(km²)	Einwohner	Bevölkerungsdichte
(Einwohner/km²)	Stadtteile	Karte
Hamburg-Mitte
(1)	142,17	314.797	2214	19	
Altona
(2)	77,85	281.136	3611	14	
Eimsbüttel
(3)	49,77	277.656	5579	9	
Hamburg-Nord
(4)	57,73	331.291	5739	13	
Wandsbek
(5)	147,43	456.412	3096	18	
Bergedorf
(6)	154,62	134.263	868	14	
Harburg
(7)	125,02	178.341	1426	17	
Stadt Hamburg	754,59	1.973.896	2616	104	
