_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_FRIEDHOEFE_18;798;Alter Friedhof Niendorf;Friedrich-Ebert-Straße;Friedrich-Ebert-Straße;71;Friedhöfe;Eimsbüttel;Niendorf;318;0;01.10.25;5,0718;;Privat;Privat (Kirche);POLYGON ((9.949723 53.617457,9.949735 53.617413,9.949786 53.617252,9.950113 53.616556,9.950565 53.616609,9.950568 53.616598,9.950619 53.616438,9.950679 53.616256,9.950779 53.615971,9.950859 53.615763,9.950907 53.615625,9.950927 53.615537,9.950953 53.615457,9.950987 53.615296,9.951086 53.614804,9.951119 53.614692,9.951165 53.614564,9.951237 53.614405,9.951286 53.614307,9.951331 53.614225,9.951382 53.614155,9.951416 53.614114,9.950747 53.614114,9.950260 53.614177,9.949524 53.614278,9.949036 53.614367,9.948738 53.615306,9.948600 53.615589,9.948564 53.615849,9.948564 53.615916,9.948141 53.616847,9.947954 53.617256,9.948795 53.617391,9.948783 53.617422,9.948818 53.617431,9.949508 53.617539,9.949549 53.617450,9.949810 53.617670,9.949895 53.617621,9.949768 53.617517,9.949723 53.617457));EPSG:4326
DE.HH.UP_FRIEDHOEFE_19;820;Friedhof Kirchdorfer Amtshof;Kirchdorfer Straße;Kirchdorfer Straße;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;147;01.10.25;1,1479;;FHH;Stadtgrün;POLYGON ((10.017754 53.487667,10.018064 53.487532,10.018413 53.487824,10.018478 53.487879,10.018319 53.487948,10.017999 53.488088,10.017926 53.488028,10.017949 53.488018,10.017811 53.487906,10.017734 53.487938,10.017642 53.487953,10.017506 53.487942,10.018024 53.488344,10.018651 53.488170,10.019322 53.487946,10.019266 53.487877,10.018911 53.487544,10.018652 53.487261,10.018518 53.487140,10.017960 53.486855,10.017027 53.487505,10.017358 53.487816,10.017474 53.487911,10.017490 53.487832,10.017535 53.487790,10.017776 53.487686,10.017754 53.487667));EPSG:4326
DE.HH.UP_FRIEDHOEFE_20;821;Friedhof Finkenriek;König-Georg-Deich - Kornweide;König-Georg-Deich - Kornweide;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;147;01.10.25;11,1397;;FHH;Stadtgrün;POLYGON ((10.006766 53.480610,10.006698 53.480285,10.006685 53.480051,10.006681 53.479883,10.006746 53.479884,10.006902 53.479685,10.006950 53.479570,10.006954 53.479502,10.006965 53.479415,10.006815 53.479437,10.006815 53.479437,10.006494 53.479037,10.006353 53.478861,10.006353 53.478861,10.006329 53.478832,10.006305 53.478847,10.006239 53.478886,10.006187 53.478913,10.006111 53.478938,10.006011 53.478974,10.005981 53.478941,10.006006 53.478932,10.006065 53.478904,10.006096 53.478886,10.006146 53.478848,10.006168 53.478822,10.006204 53.478783,10.006219 53.478747,10.006233 53.478706,10.006234 53.478685,10.006235 53.478662,10.006224 53.478637,10.006212 53.478602,10.006195 53.478580,10.006173 53.478556,10.006147 53.478529,10.006112 53.478506,10.006073 53.478486,10.006017 53.478461,10.005971 53.478432,10.005924 53.478397,10.005893 53.478367,10.005856 53.478332,10.005828 53.478297,10.005805 53.478262,10.005781 53.478214,10.005772 53.478177,10.005770 53.478152,10.005769 53.478119,10.005775 53.478073,10.005789 53.478042,10.005810 53.477995,10.005843 53.477950,10.005882 53.477886,10.005966 53.477773,10.006031 53.477682,10.006094 53.477600,10.006118 53.477551,10.006134 53.477515,10.006140 53.477462,10.006137 53.477422,10.006140 53.477389,10.006139 53.477364,10.006155 53.477332,10.006169 53.477301,10.006179 53.477284,10.006195 53.477259,10.006232 53.477218,10.006277 53.477183,10.006357 53.477128,10.006462 53.477066,10.006614 53.476975,10.006697 53.476929,10.006750 53.476897,10.006859 53.476834,10.007008 53.476745,10.007149 53.476660,10.007297 53.476568,10.007304 53.476563,10.007417 53.476494,10.007494 53.476444,10.007579 53.476385,10.007649 53.476342,10.007687 53.476316,10.007717 53.476296,10.007731 53.476289,10.007681 53.476259,10.007681 53.476259,10.007716 53.476184,10.007725 53.476164,10.007726 53.476163,10.007449 53.476116,10.007199 53.476074,10.004953 53.475698,10.004739 53.475664,10.004645 53.475654,10.004256 53.475613,10.003998 53.475596,10.003730 53.475590,10.003689 53.475592,10.003633 53.475593,10.003148 53.475602,10.002831 53.475630,10.001997 53.475752,10.002003 53.475794,10.002009 53.475829,10.001988 53.475835,10.001817 53.475882,10.001788 53.475890,10.001788 53.475890,10.003216 53.477663,10.003211 53.477664,10.003216 53.477670,10.003087 53.477707,10.002959 53.477743,10.002962 53.477748,10.002962 53.477748,10.003125 53.477950,10.003125 53.477950,10.003291 53.478157,10.003454 53.478359,10.003614 53.478557,10.003771 53.478752,10.003911 53.478926,10.004048 53.479096,10.004188 53.479270,10.004302 53.479412,10.004369 53.479495,10.004382 53.479510,10.004431 53.479501,10.004468 53.479491,10.004506 53.479479,10.004540 53.479450,10.004560 53.479431,10.004578 53.479405,10.004605 53.479388,10.004633 53.479373,10.004692 53.479350,10.004852 53.479302,10.005132 53.479212,10.005267 53.479169,10.005470 53.479107,10.005614 53.479057,10.005867 53.478978,10.005920 53.478964,10.005955 53.479002,10.005900 53.479018,10.005770 53.479061,10.005690 53.479090,10.005574 53.479130,10.005483 53.479157,10.005421 53.479177,10.005321 53.479213,10.005234 53.479235,10.005113 53.479278,10.004992 53.479318,10.004892 53.479349,10.004796 53.479381,10.004755 53.479396,10.004735 53.479408,10.004664 53.479430,10.004591 53.479458,10.004557 53.479471,10.004514 53.479496,10.004604 53.479474,10.004683 53.479450,10.004683 53.479450,10.004694 53.479470,10.004705 53.479491,10.004800 53.479672,10.004869 53.479804,10.004869 53.479804,10.004998 53.480048,10.005032 53.480113,10.005045 53.480137,10.005053 53.480152,10.005084 53.480210,10.005084 53.480210,10.005084 53.480210,10.005037 53.480218,10.005122 53.480381,10.005201 53.480533,10.005549 53.480473,10.005695 53.480447,10.005842 53.480422,10.006050 53.480809,10.006136 53.480790,10.006286 53.480761,10.006586 53.480709,10.006766 53.480610));EPSG:4326
DE.HH.UP_FRIEDHOEFE_21;823;Friedhof Altenwerder;Altenwerder Querweg;Altenwerder Querweg;70;Friedhöfe;Harburg;Altenwerder;713;0;01.10.25;0,8108;;Privat;HPA;POLYGON ((9.917182 53.506344,9.917963 53.506399,9.917963 53.506399,9.917963 53.506399,9.918121 53.506410,9.918122 53.506405,9.918127 53.506375,9.918324 53.505273,9.917421 53.505201,9.917338 53.505183,9.917338 53.505185,9.917301 53.505693,9.917238 53.506001,9.917182 53.506342,9.917182 53.506344));EPSG:4326
DE.HH.UP_FRIEDHOEFE_22;1082;Waldfriedhof Volksdorf;Schmalenremen;Schmalenremen;70;Friedhöfe;Wandsbek;Volksdorf;525;0;01.10.25;16,8646;;Privat;HF;POLYGON ((10.159037 53.670637,10.161665 53.669356,10.160296 53.667456,10.160242 53.667469,10.160216 53.667476,10.160213 53.667477,10.160207 53.667478,10.160202 53.667479,10.160196 53.667480,10.160191 53.667481,10.160185 53.667481,10.160179 53.667482,10.160174 53.667483,10.160168 53.667484,10.160162 53.667484,10.160157 53.667485,10.160151 53.667485,10.160145 53.667486,10.160139 53.667486,10.160134 53.667487,10.160128 53.667487,10.160122 53.667487,10.160116 53.667487,10.160110 53.667487,10.160105 53.667487,10.160099 53.667487,10.160093 53.667487,10.160087 53.667487,10.160081 53.667487,10.160076 53.667486,10.160070 53.667486,10.160064 53.667486,10.160058 53.667485,10.160052 53.667485,10.160047 53.667484,10.160041 53.667484,10.160035 53.667483,10.160030 53.667482,10.160024 53.667481,10.160018 53.667480,10.160013 53.667479,10.160007 53.667478,10.160002 53.667477,10.159996 53.667476,10.159991 53.667475,10.159985 53.667474,10.159980 53.667473,10.159975 53.667471,10.159969 53.667470,10.159964 53.667469,10.159959 53.667467,10.159953 53.667466,10.159948 53.667464,10.159943 53.667462,10.159938 53.667461,10.159933 53.667459,10.159928 53.667457,10.159923 53.667455,10.159919 53.667453,10.159914 53.667451,10.159909 53.667449,10.159904 53.667447,10.159900 53.667445,10.159895 53.667443,10.159891 53.667441,10.159886 53.667439,10.159882 53.667436,10.159878 53.667434,10.159875 53.667432,10.159875 53.667431,10.159880 53.667430,10.159846 53.667408,10.159819 53.667382,10.159798 53.667355,10.159784 53.667326,10.159778 53.667296,10.159780 53.667265,10.160011 53.666062,10.159892 53.665967,10.157139 53.665839,10.156878 53.665826,10.156838 53.665816,10.156696 53.665780,10.156605 53.666059,10.156268 53.666025,10.155820 53.665980,10.154630 53.670147,10.154706 53.670144,10.154781 53.670142,10.154932 53.670140,10.155008 53.670140,10.155084 53.670141,10.155159 53.670141,10.155235 53.670142,10.155311 53.670145,10.155386 53.670146,10.155462 53.670147,10.155523 53.670149,10.155569 53.670150,10.155681 53.670153,10.155681 53.670155,10.155686 53.670155,10.155607 53.670424,10.158929 53.670089,10.159033 53.670637,10.159036 53.670636,10.159037 53.670637),(10.157229 53.666270,10.157350 53.665869,10.158107 53.665905,10.158106 53.665913,10.157436 53.666293,10.157229 53.666270));EPSG:4326
DE.HH.UP_FRIEDHOEFE_23;1085;Friedhof Rahlstedt;Am Friedhof;Am Friedhof;71;Friedhöfe;Wandsbek;Rahlstedt;526;0;01.10.25;8,573;;Privat;Privat (Kirche);POLYGON ((10.154049 53.591375,10.153111 53.593912,10.152797 53.594738,10.152381 53.595843,10.153165 53.595952,10.153556 53.596001,10.153685 53.596021,10.153686 53.596029,10.153778 53.596044,10.154003 53.596079,10.154227 53.596115,10.154506 53.596158,10.154706 53.596190,10.154775 53.596201,10.154789 53.596139,10.154837 53.596008,10.154880 53.595886,10.154924 53.595764,10.154968 53.595642,10.155014 53.595520,10.155058 53.595398,10.155084 53.595329,10.155123 53.595223,10.155166 53.595106,10.155209 53.594989,10.155252 53.594872,10.155295 53.594755,10.155338 53.594638,10.155380 53.594520,10.155428 53.594389,10.155472 53.594266,10.155517 53.594143,10.155537 53.594088,10.155561 53.594020,10.155628 53.593835,10.155698 53.593642,10.155747 53.593506,10.155792 53.593384,10.155836 53.593261,10.155881 53.593136,10.155926 53.593012,10.155971 53.592888,10.156016 53.592763,10.156064 53.592634,10.156112 53.592504,10.156159 53.592375,10.156206 53.592245,10.156254 53.592116,10.156269 53.592074,10.156301 53.591986,10.156349 53.591856,10.156395 53.591727,10.156436 53.591617,10.156460 53.591548,10.156498 53.591441,10.154242 53.591253,10.154086 53.591311,10.154049 53.591375));EPSG:4326
DE.HH.UP_FRIEDHOEFE_24;316;Friedhof Langenbek;Meckelfelder Weg;Meckelfelder Weg;70;Friedhöfe;Harburg;Sinstorf;708;0;01.10.25;13,4598;;FHH;Stadtgrün;POLYGON ((9.992695 53.429588,9.992708 53.429468,9.992875 53.429475,9.993116 53.429485,9.993281 53.428615,9.993473 53.428567,9.993667 53.428518,9.994065 53.428418,9.994365 53.428343,9.994569 53.428292,9.995228 53.428126,9.995791 53.427985,9.996268 53.427865,9.996269 53.427822,9.996926 53.427659,9.997299 53.427566,9.997543 53.427505,9.998084 53.427370,9.998078 53.427158,9.998065 53.426860,9.998064 53.426825,9.998055 53.426534,9.998053 53.426464,9.998018 53.426353,9.997975 53.426295,9.994310 53.426214,9.993025 53.426176,9.992995 53.426176,9.992853 53.426170,9.992600 53.426154,9.992347 53.426132,9.992097 53.426103,9.991849 53.426067,9.991604 53.426025,9.991363 53.425976,9.991125 53.425920,9.990892 53.425858,9.990664 53.425790,9.990441 53.425716,9.990224 53.425636,9.990014 53.425550,9.989810 53.425459,9.989613 53.425362,9.989424 53.425260,9.989233 53.425286,9.989295 53.425448,9.988957 53.425493,9.988477 53.425406,9.988294 53.425413,9.987928 53.425462,9.988049 53.425740,9.988095 53.425811,9.988072 53.425884,9.988031 53.425909,9.987992 53.425969,9.988007 53.426085,9.988107 53.426426,9.988705 53.426420,9.988790 53.426644,9.988807 53.426706,9.988943 53.427199,9.988955 53.427256,9.989013 53.427241,9.989158 53.427274,9.989248 53.427295,9.989340 53.427316,9.989430 53.427336,9.989523 53.427358,9.989615 53.427379,9.989710 53.427401,9.990024 53.427473,9.990094 53.427489,9.990143 53.427500,9.990236 53.427522,9.990329 53.427543,9.990423 53.427565,9.990515 53.427586,9.990606 53.427607,9.991020 53.427702,9.991116 53.427724,9.991211 53.427746,9.991283 53.427762,9.991498 53.428065,9.991666 53.428302,9.991841 53.428549,9.992001 53.428775,9.992037 53.428825,9.992726 53.428678,9.992625 53.429462,9.992569 53.429902,9.992659 53.429933,9.992673 53.429801,9.992679 53.429748,9.992684 53.429695,9.992690 53.429642,9.992695 53.429588),(9.991690 53.427671,9.991358 53.426854,9.992488 53.426668,9.992788 53.427423,9.991690 53.427671));EPSG:4326
DE.HH.UP_FRIEDHOEFE_25;1198;Friedhof Hinschenfelde;Walddörferstraße 369;Walddörferstraße 369;71;Friedhöfe;Wandsbek;Tonndorf;513;0;01.10.25;2,823;;Privat;Privat (Kirche);POLYGON ((10.109753 53.586774,10.109677 53.586729,10.109608 53.586798,10.109453 53.586952,10.109329 53.587076,10.109214 53.587192,10.109095 53.587311,10.108978 53.587428,10.108869 53.587537,10.108761 53.587646,10.108650 53.587757,10.108541 53.587866,10.108435 53.587973,10.108316 53.588092,10.108209 53.588199,10.108096 53.588313,10.107996 53.588413,10.107889 53.588520,10.107783 53.588627,10.107344 53.589066,10.107697 53.589401,10.108128 53.589812,10.108777 53.589197,10.110702 53.587372,10.110702 53.587372,10.110683 53.587367,10.110683 53.587367,10.110540 53.587315,10.110237 53.587102,10.110237 53.587102,10.110071 53.587021,10.109917 53.586941,10.109753 53.586774,10.109753 53.586774));EPSG:4326
DE.HH.UP_FRIEDHOEFE_26;1320;Neuer Friedhof Finkenwerder;Finkenwerder Landscheideweg;Finkenwerder Landscheideweg;70;Friedhöfe;Hamburg-Mitte;Finkenwerder;141;106;01.10.25;4,9712;;FHH;Stadtgrün;POLYGON ((9.874335 53.527982,9.874370 53.528754,9.874397 53.529511,9.874714 53.529514,9.875645 53.529521,9.875878 53.529523,9.877013 53.529532,9.877182 53.529533,9.877155 53.529164,9.877155 53.529162,9.877068 53.528155,9.876998 53.527350,9.876959 53.527351,9.876939 53.527057,9.876962 53.526983,9.874653 53.527094,9.874645 53.527089,9.874355 53.527090,9.874338 53.527208,9.874315 53.527325,9.874313 53.527405,9.874319 53.527466,9.874325 53.527673,9.874328 53.527697,9.874333 53.527750,9.874335 53.527982));EPSG:4326
DE.HH.UP_FRIEDHOEFE_27;2464;Friedhof Bernadottestraße;Bernadottestraße;Bernadottestraße;71;Friedhöfe;Altona;Ottensen;212;212;01.10.25;2,6935;;Privat;Privat (Kirche);POLYGON ((9.919822 53.548545,9.919555 53.548527,9.919290 53.548519,9.919451 53.550859,9.919529 53.550900,9.920168 53.550863,9.920443 53.550844,9.920748 53.550824,9.921065 53.550796,9.921058 53.550747,9.921046 53.550647,9.921041 53.550601,9.920967 53.549935,9.920958 53.549866,9.920913 53.549494,9.920911 53.549479,9.920882 53.549233,9.920862 53.549033,9.920855 53.548966,9.920850 53.548912,9.920845 53.548858,9.920839 53.548803,9.920836 53.548776,9.920829 53.548701,9.920829 53.548699,9.920823 53.548645,9.920812 53.548546,9.920804 53.548476,9.920260 53.548528,9.919822 53.548545));EPSG:4326
