_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_KLEINGARTENANLAGEN_2003;004466;541 Gartenbauverein Hinschgrund v. 1933;Appelhoff;Appelhoff;60;Dauerkleingärten;Wandsbek;Steilshoop;516;547;01.10.2025;5,1814;;FHH;AGV;POLYGON ((10.062892 53.608488,10.063931 53.608248,10.064012 53.608231,10.064270 53.608170,10.064072 53.607868,10.064066 53.607860,10.064077 53.607855,10.064089 53.607849,10.064098 53.607844,10.064107 53.607839,10.064116 53.607834,10.064122 53.607830,10.064126 53.607827,10.064131 53.607824,10.064125 53.607817,10.064113 53.607801,10.064106 53.607805,10.064094 53.607811,10.064073 53.607821,10.064060 53.607826,10.064027 53.607840,10.064002 53.607849,10.063976 53.607857,10.063939 53.607868,10.063736 53.607551,10.063846 53.607524,10.063757 53.607467,10.063519 53.607328,10.062770 53.606887,10.062414 53.606672,10.061984 53.606412,10.061607 53.606271,10.061522 53.606239,10.061364 53.606246,10.061355 53.606247,10.061273 53.606199,10.061266 53.606192,10.060916 53.605876,10.060843 53.605811,10.060618 53.605608,10.060520 53.605533,10.060473 53.605499,10.060432 53.605470,10.060168 53.605320,10.060116 53.605346,10.059919 53.605451,10.059528 53.605661,10.059520 53.605665,10.058873 53.606009,10.059421 53.606245,10.059598 53.606320,10.059873 53.606460,10.060155 53.606636,10.059240 53.607593,10.059515 53.607592,10.059612 53.607484,10.060202 53.607482,10.061260 53.607477,10.061265 53.607903,10.061443 53.607885,10.061450 53.607885,10.061504 53.607880,10.061513 53.607879,10.061677 53.607863,10.061734 53.607979,10.061957 53.608128,10.062274 53.608279,10.062487 53.608379,10.062551 53.608410,10.062629 53.608406,10.062744 53.608442,10.062846 53.608474,10.062892 53.608488));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1552;000985;;Harburger Chaussee;Harburger Chaussee;65;Grün an Kleingärten;Hamburg-Mitte;Wilhelmsburg;137;147;01.10.2025;1,2642;;FHH;Stadtgrün;POLYGON ((10.003491 53.519845,10.003477 53.519851,10.003473 53.519864,10.003441 53.519865,10.003400 53.519866,10.003376 53.519879,10.003377 53.519900,10.003385 53.519901,10.003454 53.519889,10.003489 53.519955,10.003436 53.519966,10.003424 53.519977,10.003423 53.519988,10.003442 53.519994,10.003465 53.519993,10.003506 53.519986,10.003540 53.520050,10.003497 53.520057,10.003475 53.520068,10.003471 53.520078,10.003487 53.520086,10.003507 53.520087,10.003557 53.520080,10.003593 53.520149,10.003522 53.520162,10.003530 53.520175,10.003437 53.520195,10.003429 53.520176,10.003349 53.520189,10.003315 53.520126,10.003373 53.520117,10.003386 53.520106,10.003383 53.520096,10.003371 53.520087,10.003343 53.520087,10.003298 53.520096,10.003263 53.520033,10.003309 53.520023,10.003330 53.520012,10.003334 53.520004,10.003325 53.519996,10.003315 53.519990,10.003245 53.520000,10.003199 53.519915,10.003272 53.519899,10.003278 53.519878,10.003297 53.519853,10.003319 53.519834,10.003372 53.519812,10.003418 53.519807,10.003469 53.519805,10.003466 53.519799,10.003466 53.519799,10.003634 53.519816,10.003607 53.519768,10.003793 53.519779,10.004920 53.519847,10.005851 53.519903,10.005911 53.519906,10.006468 53.519940,10.006442 53.519837,10.006813 53.519830,10.007161 53.519819,10.007296 53.519814,10.007391 53.519807,10.007406 53.519929,10.006964 53.519944,10.006687 53.519953,10.006761 53.519957,10.006954 53.519966,10.007147 53.519968,10.007340 53.519965,10.007532 53.519955,10.007723 53.519939,10.007913 53.519917,10.008100 53.519889,10.008285 53.519855,10.007968 53.519888,10.007863 53.519718,10.008453 53.519655,10.008551 53.519795,10.008594 53.519784,10.008651 53.519768,10.008707 53.519753,10.008763 53.519736,10.008795 53.519726,10.008809 53.519722,10.008827 53.519717,10.008856 53.519707,10.008885 53.519698,10.008911 53.519689,10.008947 53.519677,10.008965 53.519671,10.009001 53.519658,10.009018 53.519652,10.009054 53.519638,10.009056 53.519638,10.009089 53.519625,10.009099 53.519621,10.009129 53.519610,10.009147 53.519603,10.009147 53.519603,10.009163 53.519596,10.009183 53.519588,10.009199 53.519582,10.009236 53.519566,10.009250 53.519560,10.009288 53.519543,10.009300 53.519538,10.009326 53.519526,10.009339 53.519520,10.009350 53.519515,10.009390 53.519497,10.009399 53.519492,10.009442 53.519472,10.009448 53.519469,10.009490 53.519448,10.009496 53.519445,10.009537 53.519423,10.009543 53.519420,10.009586 53.519397,10.009589 53.519395,10.009633 53.519370,10.009635 53.519369,10.009679 53.519344,10.009680 53.519343,10.009724 53.519317,10.009724 53.519317,10.009768 53.519290,10.009782 53.519281,10.009811 53.519262,10.009831 53.519249,10.009853 53.519234,10.009895 53.519205,10.009935 53.519176,10.009975 53.519147,10.010014 53.519117,10.010052 53.519087,10.010089 53.519056,10.010125 53.519025,10.010161 53.518994,10.010194 53.518963,10.010195 53.518962,10.010229 53.518930,10.010225 53.518929,10.010221 53.518929,10.010217 53.518928,10.010213 53.518928,10.010210 53.518927,10.010206 53.518926,10.010202 53.518926,10.010198 53.518925,10.010194 53.518924,10.010191 53.518923,10.010187 53.518922,10.010183 53.518921,10.010180 53.518920,10.010176 53.518919,10.010173 53.518918,10.010169 53.518917,10.010165 53.518916,10.010162 53.518915,10.010159 53.518914,10.010155 53.518913,10.010152 53.518911,10.010148 53.518910,10.010145 53.518909,10.010142 53.518907,10.010139 53.518906,10.010135 53.518905,10.010132 53.518903,10.010129 53.518902,10.010126 53.518900,10.010123 53.518899,10.010120 53.518897,10.010117 53.518895,10.010114 53.518894,10.010112 53.518892,10.010109 53.518890,10.010106 53.518889,10.010103 53.518887,10.010101 53.518885,10.010098 53.518883,10.010096 53.518881,10.010093 53.518880,10.010091 53.518878,10.010089 53.518876,10.010086 53.518874,10.010084 53.518872,10.010082 53.518870,10.010080 53.518868,10.010078 53.518866,10.010076 53.518864,10.010074 53.518862,10.010072 53.518860,10.010070 53.518857,10.010068 53.518855,10.010067 53.518853,10.010065 53.518851,10.010064 53.518849,10.010062 53.518847,10.010061 53.518844,10.010059 53.518842,10.010058 53.518840,10.010057 53.518838,10.010056 53.518835,10.010054 53.518833,10.010053 53.518831,10.010052 53.518829,10.010052 53.518826,10.010051 53.518824,10.010050 53.518822,10.010049 53.518819,10.010049 53.518817,10.010048 53.518815,10.010048 53.518812,10.010047 53.518810,10.010047 53.518807,10.010047 53.518805,10.010046 53.518803,10.010046 53.518800,10.010046 53.518798,10.010046 53.518796,10.010046 53.518793,10.010045 53.518791,10.010045 53.518789,10.010044 53.518787,10.010044 53.518784,10.010043 53.518782,10.010043 53.518780,10.010042 53.518777,10.010041 53.518775,10.010040 53.518773,10.010039 53.518771,10.010038 53.518768,10.010037 53.518766,10.010036 53.518764,10.010035 53.518762,10.010033 53.518760,10.010032 53.518757,10.010031 53.518755,10.010029 53.518753,10.010028 53.518751,10.009934 53.518721,10.009909 53.518743,10.009688 53.518911,10.009687 53.518911,10.009469 53.519049,10.009469 53.519049,10.009207 53.519179,10.008802 53.519346,10.008599 53.519401,10.008282 53.519470,10.008194 53.519489,10.007888 53.519523,10.007366 53.519576,10.007337 53.519579,10.007320 53.519581,10.007200 53.519586,10.007038 53.519586,10.007025 53.519586,10.007016 53.519586,10.006633 53.519577,10.006386 53.519571,10.006375 53.519571,10.006251 53.519565,10.005915 53.519550,10.005724 53.519542,10.005724 53.519541,10.005823 53.518753,10.005777 53.518753,10.005679 53.519539,10.005679 53.519540,10.005679 53.519540,10.004665 53.519494,10.004139 53.519470,10.003477 53.519439,10.003448 53.519458,10.003447 53.519458,10.003407 53.519484,10.003406 53.519484,10.003422 53.519500,10.003433 53.519516,10.003440 53.519533,10.003442 53.519551,10.003439 53.519569,10.003431 53.519586,10.003419 53.519602,10.003402 53.519617,10.003382 53.519629,10.003358 53.519640,10.003332 53.519648,10.003303 53.519654,10.003274 53.519657,10.003244 53.519657,10.003215 53.519653,10.003187 53.519647,10.003161 53.519639,10.003066 53.519699,10.003064 53.519762,10.003208 53.520023,10.003329 53.520242,10.003730 53.520282,10.003491 53.519845),(10.004073 53.519536,10.004076 53.519536,10.004085 53.519718,10.003786 53.519709,10.003778 53.519528,10.004073 53.519536),(10.005922 53.519696,10.006372 53.519683,10.006355 53.519802,10.005910 53.519822,10.005922 53.519696),(10.005124 53.519788,10.004752 53.519757,10.004751 53.519757,10.004778 53.519612,10.005141 53.519640,10.005124 53.519788),(10.007336 53.519679,10.007336 53.519680,10.007341 53.519778,10.006632 53.519796,10.006634 53.519681,10.007336 53.519679),(10.005176 53.519768,10.005175 53.519585,10.005177 53.519585,10.005625 53.519606,10.005629 53.519787,10.005176 53.519768),(10.010170 53.518950,10.010016 53.519077,10.009896 53.519167,10.009809 53.519238,10.009589 53.519120,10.009997 53.518850,10.010170 53.518950),(10.009766 53.519271,10.009559 53.519376,10.009393 53.519459,10.009277 53.519513,10.009101 53.519369,10.009150 53.519349,10.009255 53.519310,10.009365 53.519267,10.009464 53.519210,10.009573 53.519141,10.009766 53.519271),(10.009137 53.519566,10.008598 53.519714,10.008460 53.519555,10.009003 53.519404,10.009137 53.519566),(10.004115 53.519719,10.004163 53.519543,10.004164 53.519543,10.004761 53.519581,10.004721 53.519761,10.004115 53.519719));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1553;003770;592 Gartenfr. Buckhorn;Schmalenremen;Schmalenremen;61;Kleingärten;Wandsbek;Volksdorf;525;540;01.10.2025;1,6833;;FHH;Stadtgrün;POLYGON ((10.164950 53.664768,10.164973 53.664733,10.164980 53.664734,10.165192 53.664763,10.165220 53.664726,10.165236 53.664703,10.165305 53.664615,10.165309 53.664609,10.165310 53.664609,10.164813 53.664521,10.164760 53.664514,10.164496 53.664475,10.163870 53.664386,10.163327 53.664316,10.162880 53.664267,10.162459 53.664230,10.161663 53.664196,10.161362 53.664811,10.164227 53.665120,10.164820 53.664925,10.164949 53.664769,10.164950 53.664768));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1554;004652;607 Kleingartenverein Lohbrügge v. 1926;Heckkatenweg - Kampdeich;Heckkatenweg - Kampdeich;60;Dauerkleingärten;Bergedorf;Lohbrügge;601;608;01.10.2025;1,5563;;FHH;Stadtgrün;POLYGON ((10.192141 53.490928,10.194601 53.491090,10.195437 53.491126,10.195467 53.490977,10.195142 53.490955,10.195077 53.490728,10.194631 53.490702,10.194564 53.490530,10.193835 53.490480,10.193871 53.490264,10.193068 53.490214,10.193059 53.490059,10.192425 53.490048,10.192265 53.490180,10.192248 53.490195,10.192184 53.490463,10.192182 53.490541,10.192189 53.490616,10.192217 53.490714,10.192239 53.490761,10.192193 53.490756,10.192096 53.490597,10.191866 53.490647,10.192029 53.490906,10.192121 53.490887,10.192141 53.490928));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1555;004653;629 Gartenfr. Birkenhöhe Gojenberg;Ernst-Henning-Straße;Ernst-Henning-Straße;60;Dauerkleingärten;Bergedorf;Bergedorf;603;0;01.10.2025;1,0609;;FHH;Stadtgrün;POLYGON ((10.233988 53.483953,10.233981 53.483898,10.233503 53.483952,10.233113 53.484013,10.232861 53.484053,10.232670 53.484089,10.231222 53.484395,10.230771 53.484488,10.230638 53.484515,10.230443 53.484560,10.230444 53.484571,10.230472 53.484614,10.230473 53.484614,10.230809 53.485057,10.231013 53.484987,10.231126 53.484942,10.231454 53.484828,10.231578 53.484786,10.231764 53.484713,10.231932 53.484654,10.232096 53.484609,10.232282 53.484564,10.232597 53.484508,10.232789 53.484474,10.232994 53.484440,10.233155 53.484390,10.233500 53.484300,10.233829 53.484225,10.234002 53.484184,10.234001 53.484128,10.234000 53.484126,10.233996 53.484045,10.233995 53.484039,10.233988 53.483959,10.233988 53.483953));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1556;004654;629 Gartenfr. Birkenhöhe Gojenberg;Birkenhöhe  (Börnsen);Birkenhöhe  (Börnsen);61;Kleingärten;Wandsbek;außerhalb HH;0;0;01.10.2025;4,1856;;FHH;AGV;POLYGON ((10.252085 53.481465,10.253913 53.481322,10.255264 53.481227,10.255912 53.481180,10.256046 53.481150,10.255591 53.480380,10.255495 53.480200,10.254397 53.480110,10.253593 53.480052,10.252900 53.479991,10.252223 53.479902,10.250923 53.479735,10.251960 53.481487,10.251975 53.481484,10.252064 53.481466,10.252085 53.481462,10.252085 53.481465));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1557;004655;614 Rothenhauschaussee;Rothenhauschaussee;Rothenhauschaussee;61;Kleingärten;Bergedorf;Bergedorf;603;603;01.10.2025;1,0706;;FHH;Stadtgrün;POLYGON ((10.258233 53.472781,10.257806 53.472039,10.256048 53.472404,10.256477 53.473130,10.258237 53.472788,10.258233 53.472781));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1558;004656;614 Rothenhauschaussee;Rothenhauschaussee;Rothenhauschaussee;61;Kleingärten;Bergedorf;Bergedorf;603;603;01.10.2025;1,7852;;FHH;Stadtgrün;POLYGON ((10.261497 53.471982,10.261469 53.471937,10.261425 53.471941,10.261225 53.471575,10.261009 53.471612,10.260947 53.471513,10.259912 53.471656,10.259383 53.471736,10.258479 53.471904,10.258485 53.471927,10.258426 53.471940,10.258393 53.471921,10.258000 53.472009,10.258315 53.472581,10.258406 53.472741,10.259084 53.472605,10.261345 53.472152,10.261510 53.471993,10.261497 53.471982));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1559;004659;150 Bundesbahn;Möorkenweg;Möorkenweg;61;Kleingärten;Bergedorf;Bergedorf;602;0;01.10.2025;0,8947;;Privat;Privat;POLYGON ((10.225006 53.495759,10.225086 53.495745,10.225124 53.495749,10.225177 53.495747,10.225222 53.495754,10.225296 53.495768,10.225372 53.495771,10.225507 53.495782,10.225528 53.495781,10.225922 53.495811,10.225924 53.495811,10.225841 53.495365,10.225099 53.495302,10.224993 53.495296,10.224888 53.495295,10.224782 53.495298,10.224677 53.495307,10.222916 53.495496,10.222908 53.495522,10.222892 53.495548,10.222870 53.495571,10.222843 53.495592,10.222810 53.495610,10.222773 53.495625,10.222733 53.495636,10.222689 53.495644,10.222702 53.495645,10.222982 53.495675,10.223573 53.495745,10.223870 53.495777,10.224167 53.495805,10.224465 53.495833,10.224781 53.495861,10.224781 53.495861,10.224843 53.495813,10.224919 53.495781,10.225006 53.495759));EPSG:4326
DE.HH.UP_KLEINGARTENANLAGEN_1560;004660;624 Gartenfr. Pollhof;Achterschlag - Pollhof;Achterschlag - Pollhof;61;Kleingärten;Bergedorf;Bergedorf;603;603;01.10.2025;1,3248;;FHH;AGV;POLYGON ((10.228816 53.474157,10.228872 53.474361,10.228965 53.474716,10.229158 53.475401,10.229194 53.475554,10.229194 53.475557,10.229305 53.475957,10.229399 53.476282,10.229594 53.475933,10.229771 53.475516,10.229912 53.475036,10.229920 53.474658,10.229923 53.474529,10.229812 53.473820,10.229694 53.473510,10.229602 53.473573,10.229246 53.473827,10.228816 53.474157));EPSG:4326
