_fid;bezeichnung;zaehlstelle;zaehlzeit;art;jahr1984;jahr1985;jahr1986;jahr1987;jahr1988;jahr1989;jahr1990;jahr1991;jahr1992;jahr1993;jahr1994;jahr1995;jahr1996;jahr1997;jahr1998;jahr1999;jahr2000;jahr2001;jahr2002;jahr2003;jahr2004;jahr2005;jahr2006;jahr2007;jahr2008;jahr2009;jahr2010;jahr2011;jahr2012;jahr2013;jahr2014;jahr2015;jahr2016;jahr2017;jahr2018;jahr2019;jahr2020;jahr2021;geom;coordinate_reference_system
DE.HH.UP_RADVERKEHR_PEGEL_23;Saseler Chaussee S Stadtbahnstraße;5236;7-9 + 13-18;manuelle Zählung;165;224;242;287;162;319;201;245;338;246;276;296;291;391;250;232;179;143;323;261;358;373;357;194;447;285;229;240;139;420;267;256;159;474;177;467;492;543;POINT (573143.725100 5945503.219000);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_24;Stadtbahnstraße W Saseler Chaussee;5248;7-9 + 13-18;manuelle Zählung;418;673;494;664;637;569;531;603;676;416;470;567;587;494;577;546;542;479;730;635;647;736;841;425;720;667;543;645;442;905;721;435;420;720;302;708;1014;767;POINT (573108.739700 5945541.204400);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_25;August-Krogmann-Straße N Am Luisenhof;5252;6-19;manuelle Zählung;1436;1007;1281;1067;1432;1009;1104;1206;1034;1126;1059;1187;734;1081;813;937;867;626;859;858;1052;1111;872;700;1070;660;927;674;564;614;877;559;757;634;1064;645;1036;977;POINT (573893.342500 5940450.218500);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_26;Stein-Hardenberg-Straße NO Tonndorfer Hauptstraße;5263;7-9 + 13-18;manuelle Zählung;82;245;93;66;68;165;173;159;174;160;201;122;88;157;92;111;125;242;84;130;195;98;139;208;364;245;250;182;118;220;268;270;202;115;297;251;476;380;POINT (574088.019400 5937993.708800);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_27;Tonndorfer Hauptstraße O Stein-Hardenberg-Straße;5274;7-9 + 13-18;manuelle Zählung;136;254;246;213;196;219;255;223;288;383;407;215;189;267;217;284;265;325;104;300;298;141;209;310;436;382;290;159;168;199;342;337;308;154;373;248;472;466;POINT (574216.397000 5937925.806300);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_28;Schöneberger Straße W Charlottenburger Straße;5288;6-19;manuelle Zählung;799;611;759;651;861;819;657;687;563;455;531;685;351;482;291;456;293;419;468;373;413;382;354;298;685;338;623;418;437;399;528;287;405;444;561;304;635;612;POINT (575497.660200 5937844.229500);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_29;Wandsbeker Allee N Wandsbeker Marktstraße;5292;6-19;manuelle Zählung;1541;1089;1444;1216;1600;1469;1736;1325;1113;1384;1441;1327;1056;1728;936;1347;1350;1133;1458;1014;1827;1855;1159;1031;1739;767;1848;1449;1032;1208;1805;991;1376;584;2209;1262;1846;1963;POINT (570865.484100 5936605.799700);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_30;Wandsbeker Marktstraße W Wandsbeker Allee;5308;6-19;manuelle Zählung;2250;1328;2119;1878;2064;2588;2689;2435;2060;2373;2244;2633;1915;2247;1703;2261;2325;1858;2329;1740;2868;2577;1739;1695;2720;1293;2427;2353;1678;2103;2999;1521;2072;1180;2880;2268;3076;2959;POINT (570839.493400 5936540.826000);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_31;Hammer Straße NW Horner Kreisel;5311;7-9 + 13-18;manuelle Zählung;112;285;192;109;130;241;89;118;93;63;93;13;93;114;92;49;112;101;145;152;137;135;124;129;149;209;88;157;134;142;88;210;139;128;221;244;383;310;POINT (570824.476300 5935154.378400);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_32;Horner Weg O Mettlerkampsweg;5324;7-9 + 13-18;manuelle Zählung;351;791;526;355;606;331;384;540;705;526;578;663;635;569;290;650;444;405;510;509;375;512;420;512;466;503;472;337;508;180;818;532;524;362;1030;1021;1597;1553;POINT (570642.539300 5934590.605900);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_33;Washingtonallee N Horner Landstraße;5332;6-19;manuelle Zählung;811;643;605;596;674;752;831;560;607;646;783;619;493;382;332;492;502;430;463;324;465;449;265;283;521;380;472;375;295;318;330;301;278;381;435;515;540;591;POINT (572595.739200 5933246.108800);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_34;Horner Landstraße W Washingtonallee;5348;6-19;manuelle Zählung;813;759;757;637;822;848;829;737;652;623;1008;799;554;471;412;733;764;559;576;436;602;485;428;398;736;409;607;384;369;417;550;249;343;173;479;333;579;702;POINT (572539.760700 5933199.128400);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_35;Lohbrügger Markt NO Lohbrügger Landstraße;5353;7-9 + 13-18;manuelle Zählung;878;751;564;525;1013;715;586;827;638;561;479;611;879;559;645;900;641;615;658;450;476;731;582;568;795;787;571;629;674;154;710;440;452;912;797;695;721;710;POINT (580038.687500 5927974.084400);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_36;Wilstorfer Straße NW Moorstraße;5361;7-9 + 13-18;manuelle Zählung;512;323;307;202;407;519;282;271;290;356;441;625;767;241;594;518;601;304;512;513;345;537;751;259;607;930;515;513;493;355;352;651;797;563;829;838;895;644;POINT (565403.442200 5923549.090000);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_37;Moorstraße O Wilstorfer Straße;5374;7-9 + 13-18;manuelle Zählung;167;168;139;93;136;169;123;80;70;76;194;289;314;226;299;154;213;123;285;298;176;403;433;231;422;410;314;341;288;376;243;383;644;328;471;323;546;495;POINT (565454.421800 5923542.092000);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_38;Wilstorfer Straße SO Moorstraße;5385;7-9 + 13-18;manuelle Zählung;506;374;344;267;460;508;305;325;310;339;435;563;691;369;516;395;610;239;392;619;329;631;751;443;563;500;358;471;361;469;314;476;553;383;648;544;682;486;POINT (565439.427200 5923513.103800);EPSG:25832
